                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.984,                 1.3772,                 1.5984,                0.74153,                0.63333,                0.68743,                 0.3022,                 2.0394,                  1.332,                  1.703,               0.007822,               0.007822,               0.007822
                     69,                 1.9563,                  1.323,                 1.5585,                  0.788,                0.66643,                0.73081,                0.31784,                 2.0294,                  1.328,                 1.7074,               0.007789,               0.007789,               0.007789
                     70,                 1.9846,                 1.3385,                 1.5647,                0.81883,                0.63472,                0.71165,                0.31099,                 1.9922,                  1.344,                 1.6788,               0.007756,               0.007756,               0.007756
                     71,                 1.9826,                  1.319,                 1.5659,                0.77948,                0.64344,                0.70594,                0.30621,                  2.014,                 1.2977,                 1.7006,               0.007723,               0.007723,               0.007723
                     72,                 1.9605,                 1.3313,                 1.5572,                0.78422,                 0.6409,                0.70426,                0.30026,                 2.0267,                 1.3303,                 1.6921,                0.00769,                0.00769,                0.00769
                     73,                 1.9578,                 1.3226,                 1.5448,                0.78548,                0.65565,                0.71157,                0.31947,                 2.0011,                 1.3379,                 1.6739,               0.007657,               0.007657,               0.007657
                     74,                 1.9453,                 1.2805,                 1.5434,                0.77113,                0.65736,                0.70735,                0.29818,                 2.0863,                 1.3662,                 1.7496,               0.007624,               0.007624,               0.007624
                     75,                  1.956,                 1.3065,                 1.5499,                0.77864,                0.65441,                0.71937,                0.31991,                  2.054,                 1.3199,                 1.6994,               0.007591,               0.007591,               0.007591
                     76,                 1.9284,                 1.2616,                 1.5497,                0.81421,                0.67879,                0.74468,                0.33214,                 2.0348,                 1.3253,                 1.7056,               0.007558,               0.007558,               0.007558
                     77,                  1.933,                 1.2684,                 1.5373,                0.83018,                0.64151,                0.69679,                0.29781,                  2.085,                 1.3216,                 1.7399,               0.007525,               0.007525,               0.007525
                     78,                 1.9279,                 1.2677,                   1.56,                0.73778,                0.64979,                0.69596,                0.31292,                 2.0473,                 1.3485,                 1.7123,               0.007492,               0.007492,               0.007492
                     79,                 1.9139,                 1.2574,                 1.5319,                0.68927,                 0.6788,                 0.7311,                0.33175,                 2.0211,                 1.2548,                    1.7,               0.007459,               0.007459,               0.007459
                     80,                 1.9292,                 1.2513,                  1.527,                0.78391,                0.70311,                0.73837,                0.32129,                 2.0599,                 1.2402,                 1.7178,               0.007426,               0.007426,               0.007426
                     81,                 1.9149,                 1.2409,                 1.5406,                0.77344,                0.66008,                0.72446,                0.31837,                 2.0177,                 1.2818,                 1.6939,               0.007393,               0.007393,               0.007393
                     82,                 1.8998,                 1.2405,                 1.5272,                0.79607,                0.70257,                0.75445,                0.36064,                 1.9528,                 1.2737,                 1.6657,                0.00736,                0.00736,                0.00736
                     83,                 1.8954,                 1.2155,                 1.5037,                0.79793,                0.65566,                0.72206,                 0.3254,                 2.0244,                 1.2906,                 1.6974,               0.007327,               0.007327,               0.007327
