                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 2.1502,                 1.3902,                  1.801,                0.86754,                0.72697,                0.80659,                0.38388,                 1.9035,                 1.0823,                 1.6301,               0.007822,               0.007822,               0.007822
                     69,                 2.1408,                 1.3353,                 1.7832,                0.80195,                0.75299,                0.77697,                0.36641,                  1.935,                 1.1295,                 1.6299,               0.007789,               0.007789,               0.007789
                     70,                 2.1603,                 1.3451,                 1.7792,                0.82286,                0.73977,                  0.785,                0.38292,                 1.9498,                 1.0905,                 1.6296,               0.007756,               0.007756,               0.007756
                     71,                  2.154,                 1.3487,                  1.768,                0.89143,                0.72662,                0.79353,                0.37305,                 1.9224,                 1.0854,                 1.6169,               0.007723,               0.007723,               0.007723
                     72,                  2.113,                 1.3375,                 1.7641,                0.84353,                0.71256,                0.76778,                0.37154,                 1.8731,                 1.1622,                 1.5862,                0.00769,                0.00769,                0.00769
                     73,                 2.1255,                 1.3134,                 1.7494,                0.84091,                 0.7101,                0.78583,                0.37369,                 1.8697,                 1.1833,                 1.6057,               0.007657,               0.007657,               0.007657
                     74,                 2.0876,                 1.2621,                  1.736,                0.87058,                0.75766,                0.80891,                0.36609,                 1.9679,                 1.0699,                 1.6517,               0.007624,               0.007624,               0.007624
                     75,                 2.1119,                 1.3154,                 1.7398,                0.90311,                0.75659,                 0.8167,                0.38327,                 1.9503,                 1.0395,                 1.6227,               0.007591,               0.007591,               0.007591
                     76,                 2.1004,                 1.2859,                   1.74,                0.85255,                0.74302,                0.80481,                0.37206,                 1.9332,                 1.0558,                 1.6184,               0.007558,               0.007558,               0.007558
                     77,                 2.0992,                 1.2716,                 1.7292,                0.86923,                0.73634,                 0.7916,                0.36757,                 1.9792,                 1.0818,                 1.6585,               0.007525,               0.007525,               0.007525
                     78,                 2.0623,                 1.2782,                 1.7469,                0.86441,                0.73035,                0.80322,                0.37681,                  1.879,                 1.0565,                 1.6011,               0.007492,               0.007492,               0.007492
                     79,                 2.0901,                 1.2643,                 1.7337,                 0.8581,                0.73305,                0.79041,                0.36306,                  1.905,                 1.1049,                 1.6122,               0.007459,               0.007459,               0.007459
                     80,                 2.0908,                 1.2491,                 1.7183,                0.87778,                0.74167,                0.79806,                0.38078,                 2.0021,                 1.0653,                 1.6624,               0.007426,               0.007426,               0.007426
                     81,                 2.1029,                 1.2451,                 1.7596,                0.84926,                0.76565,                0.80431,                0.38773,                 1.9476,                 1.0434,                 1.6394,               0.007393,               0.007393,               0.007393
                     82,                 2.0662,                 1.2311,                 1.7308,                0.86453,                0.72507,                 0.8005,                 0.3985,                 1.8756,                 1.0323,                 1.6155,                0.00736,                0.00736,                0.00736
                     83,                 2.0516,                 1.2421,                 1.7087,                0.87375,                0.73821,                0.80993,                0.39648,                 1.8719,                 1.0572,                 1.5865,               0.007327,               0.007327,               0.007327
                     84,                 2.0507,                 1.2226,                 1.7233,                0.88545,                 0.7506,                0.80904,                0.38801,                 1.8863,                 1.0338,                 1.6092,               0.007294,               0.007294,               0.007294
                     85,                 2.0718,                 1.2467,                 1.7344,                0.83565,                0.77264,                0.81334,                0.39786,                 1.9405,                 1.0907,                  1.625,               0.007261,               0.007261,               0.007261
                     86,                   2.07,                 1.2269,                 1.7271,                0.86401,                0.73774,                0.80005,                  0.385,                 1.9101,                 1.0201,                 1.6076,               0.007228,               0.007228,               0.007228
                     87,                 2.0087,                 1.1935,                 1.7145,                0.82646,                 0.7625,                0.80574,                0.39098,                 1.9118,                 1.0364,                 1.6194,               0.007195,               0.007195,               0.007195
                     88,                 2.0408,                 1.2299,                  1.725,                0.91077,                0.75482,                0.83323,                 0.4063,                  1.872,                0.99548,                 1.5919,               0.007162,               0.007162,               0.007162
                     89,                 2.0036,                  1.197,                  1.699,                0.91823,                0.69702,                0.76751,                0.37954,                 2.0193,                 1.3433,                 1.6901,               0.007129,               0.007129,               0.007129
                     90,                 2.0398,                 1.1966,                 1.6994,                0.87801,                 0.7385,                0.81037,                0.39944,                 1.9136,                 1.0335,                 1.6298,               0.007096,               0.007096,               0.007096
                     91,                 2.0077,                 1.1927,                 1.6837,                0.87183,                0.73631,                0.80803,                 0.3924,                  1.961,                 1.0682,                 1.6337,               0.007063,               0.007063,               0.007063
                     92,                 2.0083,                 1.1774,                 1.6821,                0.83559,                0.79164,                0.82949,                 0.4062,                 1.8255,                0.97112,                 1.5773,                0.00703,                0.00703,                0.00703
                     93,                 1.9839,                  1.177,                 1.6735,                0.88764,                0.75409,                0.81361,                 0.3966,                  1.874,                   1.08,                 1.5947,               0.006997,               0.006997,               0.006997
