                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.8243,                 1.2399,                 1.4964,                0.83957,                0.65663,                0.72663,                0.33006,                  2.034,                 1.3458,                 1.7173,               0.008317,               0.008317,               0.008317
                     54,                 1.8452,                 1.2032,                 1.4949,                0.83212,                0.68241,                0.74498,                 0.3593,                 2.0791,                  1.258,                 1.7434,               0.008284,               0.008284,               0.008284
                     55,                 1.8316,                 1.2014,                 1.4989,                0.80961,                0.71925,                0.75964,                0.35087,                 1.9848,                 1.2145,                  1.683,               0.008251,               0.008251,               0.008251
                     56,                 1.8284,                 1.2297,                 1.5108,                0.83909,                 0.6412,                0.73868,                0.35364,                 2.0581,                 1.3091,                 1.7368,               0.008218,               0.008218,               0.008218
                     57,                 1.7888,                 1.1904,                  1.488,                0.81489,                0.64965,                0.71585,                 0.3236,                 2.0715,                 1.7278,                 1.7572,               0.008185,               0.008185,               0.008185
                     58,                 1.8142,                 1.1655,                 1.4769,                0.85864,                0.69784,                0.77222,                0.34901,                 2.0565,                 1.2272,                 1.7259,               0.008152,               0.008152,               0.008152
                     59,                 1.8109,                 1.1721,                 1.4908,                0.83124,                0.70145,                0.77201,                0.38048,                 1.9141,                 1.1441,                 1.6359,               0.008119,               0.008119,               0.008119
                     60,                 1.7718,                 1.1381,                 1.4588,                0.82449,                0.69202,                0.75265,                0.35498,                 1.9752,                 1.1944,                 1.6634,               0.008086,               0.008086,               0.008086
                     61,                 1.7791,                 1.1601,                  1.459,                0.80561,                0.68964,                0.74789,                0.34919,                 2.0103,                 1.5236,                 1.7062,               0.008053,               0.008053,               0.008053
                     62,                 1.7935,                 1.1182,                 1.4566,                0.86206,                0.69583,                 0.7577,                0.36397,                 2.0604,                 1.1908,                 1.7263,                0.00802,                0.00802,                0.00802
                     63,                 1.7686,                 1.1501,                 1.4506,                0.81365,                0.72821,                0.77099,                0.37166,                  2.002,                 1.1351,                 1.6866,               0.007987,               0.007987,               0.007987
                     64,                 1.7681,                 1.1195,                  1.449,                0.85037,                0.68351,                0.76183,                0.37019,                 1.9878,                 1.2178,                  1.694,               0.007954,               0.007954,               0.007954
                     65,                 1.7406,                 1.1254,                 1.4368,                 0.8353,                0.71653,                0.79111,                0.37369,                 1.9077,                 1.1903,                 1.6356,               0.007921,               0.007921,               0.007921
                     66,                 1.7454,                 1.1108,                 1.4437,                0.87005,                0.71436,                0.78112,                0.38633,                 1.9485,                 1.1579,                 1.6552,               0.007888,               0.007888,               0.007888
                     67,                 1.7377,                 1.1209,                 1.4334,                0.77689,                0.70156,                0.75617,                  0.355,                 1.9536,                    1.2,                 1.6639,               0.007855,               0.007855,               0.007855
                     68,                 1.7499,                 1.1215,                 1.4598,                0.86331,                0.70601,                0.79094,                0.38638,                 1.9464,                 1.1792,                 1.6609,               0.007822,               0.007822,               0.007822
                     69,                 1.7365,                 1.0964,                 1.4381,                0.85037,                0.68737,                0.77735,                0.38246,                 1.9294,                 1.1921,                 1.6612,               0.007789,               0.007789,               0.007789
                     70,                 1.7537,                 1.0812,                 1.4362,                0.85483,                 0.7448,                 0.7982,                0.38088,                 1.8935,                 1.1022,                 1.5987,               0.007756,               0.007756,               0.007756
                     71,                 1.7325,                  1.084,                 1.4222,                0.87903,                0.72116,                0.77768,                0.37445,                 2.0097,                 1.2085,                 1.6878,               0.007723,               0.007723,               0.007723
                     72,                 1.7136,                 1.0787,                 1.4167,                0.84264,                0.72437,                0.78405,                0.37902,                 1.9696,                 1.1346,                 1.6367,                0.00769,                0.00769,                0.00769
                     73,                 1.7276,                 1.0576,                 1.4128,                0.85134,                0.72468,                0.78949,                0.38232,                 1.8213,                 1.0654,                 1.5775,               0.007657,               0.007657,               0.007657
                     74,                 1.7097,                 1.0304,                 1.4078,                0.81686,                0.71446,                0.77119,                 0.3689,                   2.03,                 1.2297,                 1.6911,               0.007624,               0.007624,               0.007624
                     75,                 1.6878,                 1.0644,                 1.3887,                0.83511,                0.74559,                0.78843,                 0.3739,                 1.9655,                 1.1174,                 1.6818,               0.007591,               0.007591,               0.007591
                     76,                 1.6947,                 1.0266,                 1.4114,                0.86771,                0.72029,                0.78233,                0.37662,                  1.913,                 1.1133,                 1.6304,               0.007558,               0.007558,               0.007558
                     77,                 1.7037,                  1.034,                 1.3986,                0.85473,                0.71859,                0.77431,                0.35421,                 2.0594,                  1.145,                 1.7132,               0.007525,               0.007525,               0.007525
                     78,                 1.6845,                 1.0317,                 1.4161,                0.86049,                0.73601,                0.79041,                0.37433,                 1.9425,                 1.1237,                  1.663,               0.007492,               0.007492,               0.007492
                     79,                 1.6829,                 1.0164,                 1.3958,                0.86483,                0.75305,                 0.8074,                0.38991,                  1.858,                 1.0861,                 1.5951,               0.007459,               0.007459,               0.007459
                     80,                 1.6753,                0.99251,                 1.3836,                0.82595,                0.74395,                0.80547,                0.40449,                 1.8691,                 1.0716,                 1.5848,               0.007426,               0.007426,               0.007426
                     81,                 1.6943,                 1.0249,                 1.4138,                0.85694,                0.74259,                0.81306,                0.39928,                 1.8845,                 1.1292,                 1.5854,               0.007393,               0.007393,               0.007393
